main_category,subcategory,title,price,rating,reviews,url
Toys,RC Car,MNRC MN82S 1/12 2.4G 4WD For Toyota LC79 RC Car Full Proportional Control Climbing Off-Road Vehicle Models,£49.47,4.75,48 reviews,https://www.banggood.com/MNRC-MN82S-1-or-12-2_4G-4WD-For-Toyota-LC79-RC-Car-Full-Proportional-Control-Climbing-Off-Road-Vehicle-Models-p-2023823.html?cur_warehouse=CN&ID=6322853&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,LDARC X43 1/43 2.4G 4WD RC Car Rock Crawler Mini Climbing LED Light Off-Road Vehicles Models Remote Control Racing Toys,£54.26,4.62,122 reviews,https://www.banggood.com/LDARC-X43-1-or-43-2_4G-4WD-RC-Car-Rock-Crawler-Mini-Climbing-LED-Light-Off-Road-Vehicles-Models-Remote-Control-Racing-Toys-p-1998293.html?cur_warehouse=CN&ID=6325537&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,MNRC MN82 RTR 1/12 2.4G 4WD RC Car for TOYOTA Land Cruiser LC79 Rock Crawler LED Light Climbing Off-Road Truck Full Proportional Vehicles Models Toys,£38.39,4.86,152 reviews,https://www.banggood.com/MNRC-MN82-RTR-1-or-12-2_4G-4WD-RC-Car-for-TOYOTA-Land-Cruiser-LC79-Rock-Crawler-LED-Light-Climbing-Off-Road-Truck-Full-Proportional-Vehicles-Models-Toys-p-2004388.html?cur_warehouse=CN&ID=6287843&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,FMS FCX24M RTR 1/24 2.4G 4WD RC Car for Land Rover Camel Trophy Edition Rock Crawler Off-Road Climbing Truck Two Speed LED Lights Vehicles Models Oil Filled Shocks Toys,£88.32,4.96,91 reviews,https://www.banggood.com/FMS-FCX24M-RTR-1-or-24-2_4G-4WD-RC-Car-for-Land-Rover-Camel-Trophy-Edition-Rock-Crawler-Off-Road-Climbing-Truck-Two-Speed-LED-Lights-Vehicles-Models-Oil-Filled-Shocks-Toys-p-2016733.html?cur_warehouse=CN&ID=6327418&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,HBX 16889A Pro 1/16 2.4G 4WD Brushless High Speed RC Car Vehicle Models Full Propotional Two Three Battery,£84.38,4.80,300 reviews,https://www.banggood.com/HBX-16889A-Pro-1-or-16-2_4G-4WD-Brushless-High-Speed-RC-Car-Vehicle-Models-Full-Propotional-Two-Three-Battery-p-1891731.html?cur_warehouse=CN&ID=531931&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,YD001 RTR 1/50 2.4G RC Car Forklift Truck Simulation Crane Loader Remote Controlled Full Direction Engineering Vehicle Desktop Toys Model Collection Gift For Boys,£20.12,,0 review,https://www.banggood.com/YD001-RTR-1-or-50-2_4G-RC-Car-Forklift-Truck-Simulation-Crane-Loader-Remote-Controlled-Full-Direction-Engineering-Vehicle-Desktop-Toys-Model-Collection-Gift-For-Boys-p-2039998.html?cur_warehouse=CN&ID=531930&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,LYZRC C100 1/16 2.4G 4WD High-Speed Off-Road Climbing RC Car Full Proportional Control Electric Vehicle Model RTR,£51.09,,0 review,https://www.banggood.com/LYZRC-C100-1-or-16-2_4G-4WD-High-Speed-Off-Road-Climbing-RC-Car-Full-Proportional-Control-Electric-Vehicle-Model-RTR-p-2038712.html?cur_warehouse=CN&ID=6319106&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,Diatone x Sniclo MIX GO SNT MG034 1/43 2.4G 4WD Mini Drift RC Car Gyro Micro Racer LED Light Remote Control High-Speed Motor On-Road Racing Vehicles Models Boys Gifts Toys,£75.09,,0 review,https://www.banggood.com/Diatone-x-Sniclo-MIX-GO-SNT-MG034-1-or-43-2_4G-4WD-Mini-Drift-RC-Car-Gyro-Micro-Racer-LED-Light-Remote-Control-High-Speed-Motor-On-Road-Racing-Vehicles-Models-Boys-Gifts-Toys-p-2039218.html?cur_warehouse=CN&ID=6334573&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,JD Toys JD155-29A/30A/31A RTR 1/24 2.4G 4WD Drift RC Car Mini Race LED Light Remote Control High-Speed Motor On-Road Racing Vehicle Model Boys Gifts Toys,£19.35,,0 review,https://www.banggood.com/JD-Toys-JD155-29A-or-30A-or-31A-RTR-1-or-24-2_4G-4WD-Drift-RC-Car-Mini-Race-LED-Light-Remote-Control-High-Speed-Motor-On-Road-Racing-Vehicle-Model-Boys-Gifts-Toys-p-2039959.html?cur_warehouse=CN&ID=6287832&rmmds=CategoryToysPop&trace_id=366f1763843469918
Toys,RC Car,Huina Toys RTR 1534 1/18 2.4G 9CH RC Car Dump Truck Alloy Bucket Cabin LED Light Engineering Remote Control Simulation Construction Vehicles Models Children Kids Gifts,£47.22,,0 review,https://www.banggood.com/Huina-Toys-RTR-1534-1-or-18-2_4G-9CH-RC-Car-Dump-Truck-Alloy-Bucket-Cabin-LED-Light-Engineering-Remote-Control-Simulation-Construction-Vehicles-Models-Children-Kids-Gifts-p-2039975.html?cur_warehouse=CN&rmmds=CategoryToysPop&trace_id=366f1763843469918
